2025-11-27 23:49:44,659 | INFO | 📦 Loaded cog: general
2025-11-27 23:49:44,691 | INFO | 📦 Loaded cog: client
2025-11-27 23:49:44,733 | INFO | 📦 Loaded cog: moderation
2025-11-27 23:49:44,863 | INFO | 📦 Loaded cog: owner
2025-11-27 23:49:44,881 | INFO | 📦 Loaded cog: admin
2025-11-27 23:49:44,928 | INFO | 📦 Loaded cog: utility
2025-11-27 23:49:47,233 | INFO | DiscordHandler attached
2025-11-27 23:49:47,233 | INFO | Dashboard scheduled on 0.0.0.0:8080
2025-11-27 23:49:50,181 | INFO | ✅ Logged in as Entrophy#6059 (ID: 1320377919817781248)
2025-11-27 23:49:50,855 | INFO | 🔁 Synced 6 slash commands
2025-11-27 23:49:50,868 | INFO |   - ping: global
2025-11-27 23:49:50,885 | INFO |   - say: global
2025-11-27 23:49:50,898 | INFO |   - uptime: global
2025-11-27 23:49:50,933 | INFO |   - rtclock: global
2025-11-27 23:49:50,942 | INFO |   - usr: global
2025-11-27 23:49:50,964 | INFO |   - User Info: global
2025-11-27 23:49:50,972 | INFO | 🔁 Slash commands synced.
2025-11-27 23:54:49,804 | INFO | keep_alive enabled
2025-11-27 23:54:50,067 | INFO | 📦 Loaded cog: general
2025-11-27 23:54:50,076 | INFO | 📦 Loaded cog: client
2025-11-27 23:54:50,186 | INFO | 📦 Loaded cog: moderation
2025-11-27 23:54:50,317 | INFO | 📦 Loaded cog: owner
2025-11-27 23:54:50,360 | INFO | 📦 Loaded cog: admin
2025-11-27 23:54:50,397 | INFO | 📦 Loaded cog: utility
2025-11-27 23:54:51,705 | INFO | DiscordHandler attached
2025-11-27 23:54:51,706 | INFO | Dashboard scheduled on 0.0.0.0:8080
2025-11-27 23:54:54,838 | INFO | ✅ Logged in as Entrophy#6059 (ID: 1320377919817781248)
2025-11-27 23:54:56,384 | INFO | 🔁 Synced 6 slash commands
2025-11-27 23:54:56,385 | INFO |   - ping: global
2025-11-27 23:54:56,386 | INFO |   - say: global
2025-11-27 23:54:56,386 | INFO |   - uptime: global
2025-11-27 23:54:56,387 | INFO |   - rtclock: global
2025-11-27 23:54:56,387 | INFO |   - usr: global
2025-11-27 23:54:56,388 | INFO |   - User Info: global
2025-11-27 23:54:56,389 | INFO | 🔁 Slash commands synced.
2025-11-27 23:57:33,794 | INFO | keep_alive enabled
2025-11-27 23:57:33,955 | INFO | 📦 Loaded cog: general
2025-11-27 23:57:34,001 | INFO | 📦 Loaded cog: client
2025-11-27 23:57:34,043 | INFO | 📦 Loaded cog: moderation
2025-11-27 23:57:34,179 | INFO | 📦 Loaded cog: owner
2025-11-27 23:57:34,207 | INFO | 📦 Loaded cog: admin
2025-11-27 23:57:34,320 | INFO | 📦 Loaded cog: utility
2025-11-27 23:57:36,043 | INFO | DiscordHandler attached
2025-11-27 23:57:36,043 | INFO | Dashboard scheduled on 0.0.0.0:8080
2025-11-27 23:57:39,210 | INFO | ✅ Logged in as Entrophy#6059 (ID: 1320377919817781248)
2025-11-27 23:57:39,721 | INFO | 🔁 Synced 6 slash commands
2025-11-27 23:57:39,722 | INFO |   - ping: global
2025-11-27 23:57:39,726 | INFO |   - say: global
2025-11-27 23:57:39,727 | INFO |   - uptime: global
2025-11-27 23:57:39,727 | INFO |   - rtclock: global
2025-11-27 23:57:39,728 | INFO |   - usr: global
2025-11-27 23:57:39,729 | INFO |   - User Info: global
2025-11-27 23:57:39,729 | INFO | 🔁 Slash commands synced.
2025-11-28 00:01:35,829 | INFO | 📦 Loaded cog: general
2025-11-28 00:01:35,891 | INFO | 📦 Loaded cog: client
2025-11-28 00:01:35,952 | INFO | 📦 Loaded cog: moderation
2025-11-28 00:01:36,038 | INFO | 📦 Loaded cog: owner
2025-11-28 00:01:36,070 | INFO | 📦 Loaded cog: admin
2025-11-28 00:01:36,106 | INFO | 📦 Loaded cog: utility
2025-11-28 00:01:38,597 | INFO | DiscordHandler attached
2025-11-28 00:01:38,598 | INFO | Dashboard scheduled on 0.0.0.0:8080
2025-11-28 00:01:41,653 | INFO | ✅ Logged in as Entrophy#6059 (ID: 1320377919817781248)
2025-11-28 00:01:42,314 | INFO | 🔁 Synced 6 slash commands
2025-11-28 00:01:42,314 | INFO |   - ping: global
2025-11-28 00:01:42,315 | INFO |   - say: global
2025-11-28 00:01:42,315 | INFO |   - uptime: global
2025-11-28 00:01:42,316 | INFO |   - rtclock: global
2025-11-28 00:01:42,316 | INFO |   - usr: global
2025-11-28 00:01:42,316 | INFO |   - User Info: global
2025-11-28 00:01:42,317 | INFO | 🔁 Slash commands synced.
2025-11-28 00:04:02,729 | INFO | 📦 Loaded cog: general
2025-11-28 00:04:02,773 | INFO | 📦 Loaded cog: client
2025-11-28 00:04:02,867 | INFO | 📦 Loaded cog: moderation
2025-11-28 00:04:02,976 | INFO | 📦 Loaded cog: owner
2025-11-28 00:04:03,014 | INFO | 📦 Loaded cog: admin
2025-11-28 00:04:03,072 | INFO | 📦 Loaded cog: utility
2025-11-28 00:04:04,539 | INFO | DiscordHandler attached
2025-11-28 00:04:04,541 | INFO | Dashboard scheduled on 0.0.0.0:8080
2025-11-28 00:04:07,728 | INFO | ✅ Logged in as Entrophy#6059 (ID: 1320377919817781248)
2025-11-28 00:04:08,277 | INFO | 🔁 Synced 6 slash commands
2025-11-28 00:04:08,277 | INFO |   - ping: global
2025-11-28 00:04:08,278 | INFO |   - say: global
2025-11-28 00:04:08,278 | INFO |   - uptime: global
2025-11-28 00:04:08,279 | INFO |   - rtclock: global
2025-11-28 00:04:08,279 | INFO |   - usr: global
2025-11-28 00:04:08,280 | INFO |   - User Info: global
2025-11-28 00:04:08,280 | INFO | 🔁 Slash commands synced.
2025-11-28 00:10:14,833 | INFO | 📦 Loaded cog: general
2025-11-28 00:10:14,923 | INFO | 📦 Loaded cog: client
2025-11-28 00:10:14,970 | INFO | 📦 Loaded cog: moderation
2025-11-28 00:10:15,172 | INFO | 📦 Loaded cog: owner
2025-11-28 00:10:15,187 | INFO | 📦 Loaded cog: admin
2025-11-28 00:10:15,231 | INFO | 📦 Loaded cog: utility
2025-11-28 00:10:16,934 | INFO | DiscordHandler attached
2025-11-28 00:10:16,935 | INFO | Dashboard scheduled on 0.0.0.0:8080
2025-11-28 00:10:19,806 | INFO | ✅ Logged in as Entrophy#6059 (ID: 1320377919817781248)
2025-11-28 00:10:20,452 | INFO | 🔁 Synced 6 slash commands
2025-11-28 00:10:20,454 | INFO |   - ping: global
2025-11-28 00:10:20,455 | INFO |   - say: global
2025-11-28 00:10:20,455 | INFO |   - uptime: global
2025-11-28 00:10:20,455 | INFO |   - rtclock: global
